total_sqft,bath,balcony,site_location,bhk,age,parking,floor_level,furnishing,distance,property_type,security
3674,3,2,Narayangaon,4,21,Yes,Top,Unfurnished,2.7,Apartment,No
1360,2,1,Shivaji Nagar,1,24,Yes,Middle,Semi-Furnished,2.9,Independent House,Yes
1794,2,2,Hadapsar Industrial Estate,1,27,No,Ground,Semi-Furnished,4.9,Apartment,No
1630,3,1,Vadgaon Budruk,1,26,Yes,Middle,Furnished,9.0,Independent House,No
1595,1,1,Viman Nagar,3,12,No,Top,Furnished,1.9,Independent House,No
3592,2,2,Model colony,4,16,Yes,Top,Furnished,8.3,Villa,No
2138,2,2,Budhwar Peth,2,12,No,Ground,Semi-Furnished,3.3,Villa,No
2669,3,1,Model colony,1,19,Yes,Middle,Unfurnished,8.2,Apartment,No
966,1,1,Deccan Gymkhana,3,10,No,Ground,Unfurnished,9.2,Apartment,No
1738,2,2,Manik Bagh,2,7,No,Top,Furnished,4.6,Apartment,No
830,3,1,Satara Road,1,12,Yes,Middle,Unfurnished,4.0,Villa,No
1982,2,2,Khadki,2,20,No,Ground,Semi-Furnished,8.1,Independent House,No
2635,4,1,Karve Road,1,5,Yes,Top,Unfurnished,5.5,Apartment,No
3944,3,2,Narayan Peth,2,16,No,Ground,Semi-Furnished,7.0,Independent House,Yes
3671,1,1,Khadaki,2,9,No,Middle,Furnished,6.4,Villa,No
3419,1,1,Shukrawar Peth,4,7,No,Middle,Unfurnished,2.0,Villa,No
630,1,2,Shaniwar Peth,4,20,No,Middle,Semi-Furnished,8.5,Villa,No
2185,1,1,Deccan Gymkhana,1,22,No,Middle,Furnished,2.4,Villa,Yes
3880,2,1,Erandwane,3,26,No,Middle,Furnished,9.4,Independent House,Yes
1269,2,2,Manik Bagh,4,14,No,Ground,Furnished,2.9,Independent House,No
2891,1,1,Gokhale Nagar,2,11,Yes,Ground,Furnished,7.5,Apartment,Yes
2015,1,1,Mundhawa,4,7,Yes,Ground,Unfurnished,3.2,Independent House,Yes
3985,1,1,Pirangut,4,29,No,Ground,Semi-Furnished,3.5,Independent House,No
3353,2,2,Paud Road,1,10,No,Top,Unfurnished,3.4,Independent House,No
2933,1,2,Rasta Peth,4,29,No,Top,Semi-Furnished,7.6,Apartment,Yes
1715,1,2,Deccan Gymkhana,4,9,Yes,Ground,Furnished,5.8,Independent House,Yes
1455,4,1,Baner,2,4,No,Top,Unfurnished,8.9,Independent House,No
2824,4,1,Kasba Peth,4,16,Yes,Top,Furnished,







3.4,Independent House,No
1684,1,1,Pune Railway Station,2,10,No,Middle,Semi-Furnished,7.1,Villa,No
